x,U_0,U_1,U_2
0.62375,0.909767,-7.32787e-15,0
0.62625,0.909767,-6.97224e-15,0
0.62875,0.909766,-4.50874e-15,0
0.63125,0.909766,-1.10928e-15,0
0.63375,0.909765,1.09757e-15,0
0.63625,0.909765,1.80974e-15,0
0.63875,0.909765,1.22435e-15,0
0.64125,0.909765,5.13212e-16,0
0.64375,0.909764,-6.41718e-17,0
0.64625,0.909764,-3.15143e-16,0
0.64875,0.909764,-4.41804e-16,0
0.65125,0.909764,-4.41795e-16,0
0.65375,0.909765,-4.18858e-16,0
0.65625,0.909765,-3.26832e-16,0
0.65875,0.909765,-2.84089e-16,0
0.66125,0.909765,-2.08737e-16,0
0.66375,0.909764,-1.5976e-16,0
0.66625,0.909765,-1.34391e-16,0
0.66875,0.909765,-1.39007e-16,0
0.67125,0.909766,-1.02433e-16,0
0.67375,0.909768,-1.40564e-16,0
0.67625,0.90977,-1.59749e-16,0
0.67875,0.909772,-2.12853e-16,0
0.68125,0.909773,-2.28952e-16,0
0.68375,0.909772,-2.33234e-16,0
0.68625,0.909763,-2.38271e-16,0
0.68875,0.909739,-2.39993e-16,0
0.69125,0.909716,-2.67481e-16,0
0.69375,0.909721,-2.65863e-16,0
0.69625,0.909744,-2.78226e-16,0
0.69875,0.909744,-2.7787e-16,0
0.70125,0.909711,-2.94872e-16,0
0.70375,0.909651,-2.92696e-16,0
0.70625,0.909607,-2.85785e-16,0
0.70875,0.909612,-2.76447e-16,0
0.71125,0.909703,-2.94068e-16,0
0.71375,0.909938,-2.85697e-16,0
0.71625,0.910314,-3.36766e-16,0
0.71875,0.910782,-2.99053e-16,0
0.72125,0.911277,-3.70282e-16,0
0.72375,0.911722,-3.78408e-16,0
0.72625,0.912068,-4.26951e-16,0
0.72875,0.912258,-4.21641e-16,0
0.73125,0.912284,-4.33124e-16,0
0.73375,0.912233,-4.90492e-16,0
0.73625,0.912086,-3.56391e-16,0
0.73875,0.911885,-4.16464e-16,0
0.74125,0.911682,-2.67315e-16,0
0.74375,0.9115,-9.50288e-16,0
0.74625,0.911349,-3.13997e-16,0
0.74875,0.911236,-7.3653e-16,0
0.75125,0.911158,-3.04004e-16,0
0.75375,0.911108,-6.84363e-16,0
0.75625,0.911079,-3.52311e-16,0
0.75875,0.911063,-6.03932e-16,0
0.76125,0.911056,-4.50041e-16,0
0.76375,0.911055,-5.56748e-16,0
0.76625,0.911053,-4.99596e-16,0
0.76875,0.911053,-5.32281e-16,0
0.77125,0.911053,-4.55447e-16,0
0.77375,0.911055,-6.30745e-16,0
0.77625,0.911058,-3.89148e-16,0
0.77875,0.91106,-5.92116e-16,0
0.78125,0.911062,-3.78851e-16,0
0.78375,0.911063,-5.17731e-16,0
0.78625,0.911064,-4.90269e-16,0
0.78875,0.911064,-4.97215e-16,0
0.79125,0.911065,-5.0401e-16,0
0.79375,0.911065,-5.23141e-16,0
0.79625,0.911066,-5.65106e-16,0
0.79875,0.911066,-5.17506e-16,0
0.80125,0.911067,-6.0418e-16,0
0.80375,0.911068,-4.95583e-16,0
0.80625,0.911068,-6.09181e-16,0
0.80875,0.911069,-4.39735e-16,0
0.81125,0.91107,-5.74957e-16,0
0.81375,0.911071,-4.23236e-16,0
0.81625,0.911072,-6.07706e-16,0
0.81875,0.911073,-4.21351e-16,0
0.82125,0.911074,-5.67254e-16,0
0.82375,0.911075,-4.48169e-16,0
0.82625,0.911076,-5.54913e-16,0
0.82875,0.911077,-4.7796e-16,0
0.83125,0.911078,-5.86451e-16,0
0.83375,0.911078,-4.72592e-16,0
0.83625,0.911079,-5.55597e-16,0
0.83875,0.91108,-4.70048e-16,0
0.84125,0.911081,-5.63332e-16,0
0.84375,0.911081,-4.0128e-16,0
0.84625,0.911082,-5.3962e-16,0
0.84875,0.911083,-4.18755e-16,0
0.85125,0.911084,-5.19513e-16,0
0.85375,0.911085,-3.83879e-16,0
0.85625,0.911086,-5.25889e-16,0
0.85875,0.911088,-4.19728e-16,0
0.86125,0.911089,-4.95193e-16,0
0.86375,0.911091,-4.51308e-16,0
0.86625,0.911092,-4.72568e-16,0
0.86875,0.911094,-5.07611e-16,0
0.87125,0.911096,-4.57054e-16,0
0.87375,0.911097,-5.09299e-16,0
0.87625,0.911098,-3.81769e-16,0
0.87875,0.911099,-4.51882e-16,0
0.88125,0.9111,-3.96816e-16,0
0.88375,0.911101,-4.79918e-16,0
0.88625,0.911102,-4.4062e-16,0
0.88875,0.911102,-4.76189e-16,0
0.89125,0.911103,-4.67488e-16,0
0.89375,0.911103,-4.6672e-16,0
0.89625,0.911104,-4.62458e-16,0
0.89875,0.911104,-4.76961e-16,0
0.90125,0.911102,-4.68821e-16,0
0.90375,0.911091,-4.49838e-16,0
0.90625,0.911042,-4.13608e-16,0
0.90875,0.910815,-4.16079e-16,0
0.91125,0.909795,-4.01292e-16,0
0.91375,0.905324,-3.85244e-16,0
0.91625,0.886676,-3.73953e-16,0
0.91875,0.81616,-4.37721e-16,0
0.92125,0.598022,-4.39634e-16,0
0.92375,0.175869,-5.28855e-16,0
0.92625,0.00867999,-4.43507e-16,0
0.92875,0.000130753,-5.02037e-16,0
0.93125,2.0956e-06,-3.99929e-16,0
0.93375,3.9314e-08,-3.86921e-16,0
0.93625,7.58091e-10,-3.86034e-16,0
0.93875,1.46596e-11,-4.0818e-16,0
0.94125,2.83573e-13,-4.82284e-16,0
0.94375,6.18228e-15,-4.60572e-16,0
0.94625,4.20924e-16,-4.77738e-16,0
0.94875,-6.16549e-16,-4.5289e-16,0
0.95125,-1.92342e-15,-4.5438e-16,0
0.95375,-2.85906e-15,-4.06739e-16,0
0.95625,-2.01007e-15,-3.86602e-16,0
0.95875,-1.20045e-15,-3.78989e-16,0
0.96125,-1.01827e-15,-3.85878e-16,0
0.96375,-1.1364e-15,-3.60427e-16,0
0.96625,-1.07172e-15,-3.46713e-16,0
0.96875,-1.17233e-15,-3.59002e-16,0
0.97125,-1.12579e-15,-3.85995e-16,0
0.97375,-1.05593e-15,-3.76102e-16,0
0.97625,-1.0568e-15,-3.56099e-16,0
0.97875,-1.40272e-15,-4.31298e-16,0
0.98125,-1.9045e-15,-4.54533e-16,0
0.98375,-2.63491e-15,-4.43858e-16,0
0.98625,-3.70252e-15,-4.60626e-16,0
0.98875,-3.28738e-15,-4.31958e-16,0
0.99125,-3.80042e-15,-4.06825e-16,0
0.99375,-3.96249e-15,-3.50313e-16,0
0.99625,-2.66148e-15,-3.19269e-16,0
0.99875,-1.77187e-15,-3.0391e-16,0
